Time,Attribute,State,Phase
54079.129999969155,,, START
55526.53499995358,pressure,1,ON_TCATA
55817.1999999322,pressure,0,ON_TCATA
56124.89999993704,stinging,1,ON_TCATA
56350.93499999493,stinging,0,ON_TCATA
56578.78499990329,stinging,1,ON_TCATA
56867.48999997508,pressure,1,ON_TCATA
57274.144999915734,stinging,0,ON_TCATA
57658.94999995362,pressure,0,ON_TCATA
58547.68499999773,,, S_STOPPED
59827.17999990564,,, START
60338.074999977835,stinging,1,OFF_TCATA
60469.99999997206,pressure,1,OFF_TCATA
60725.569999893196,stinging,0,OFF_TCATA
60949.29999997839,stinging,1,OFF_TCATA
61046.2599999737,pressure,0,OFF_TCATA
61254.994999966584,stinging,0,OFF_TCATA
62258.0799999414,,, S_STOPPED
,numbness,,DOM_SENSE
